{'transaction_id': '3b2c26c0-a727-4ad4-a805-7888941ab4fa', 'amount': 46116.87, 'timestamp': '2025-05-27T15:31:12.136472', 'location': 'CHI', 'card_id': '1f9057f4-008f-483b-84bd-f17af1ab23de', 'merchant_id': '7938', 'risk': 50, 'fraud': True}
{'transaction_id': '01d9a0c3-5b9c-4cd5-b2c7-40dea1550681', 'amount': 47964.96, 'timestamp': '2025-05-27T13:51:05.136629', 'location': 'SEA', 'card_id': '8a36c469-365f-4270-921d-2861466b7702', 'merchant_id': '9254', 'risk': 50, 'fraud': True}
{'transaction_id': 'ac9845cd-85d4-40a3-bc3c-f2ea18dee344', 'amount': 22119.98, 'timestamp': '2025-05-27T11:41:41.136641', 'location': 'SEA', 'card_id': '8562725e-5535-41c6-bb0a-cf34083f2b12', 'merchant_id': '2185', 'risk': 50, 'fraud': True}
{'transaction_id': '26c55591-f120-441e-8af2-6dbb57474f22', 'amount': 48196.64, 'timestamp': '2025-05-27T02:12:34.136652', 'location': 'CHI', 'card_id': '3019b147-fcc8-44bf-8e0d-1bd521cacaf0', 'merchant_id': '4684', 'risk': 50, 'fraud': True}
{'transaction_id': 'ea02591c-2652-4cfe-8b0c-a34aaa183e3f', 'amount': 40984.59, 'timestamp': '2025-05-27T18:31:59.136679', 'location': 'NY', 'card_id': '1b8222c7-dfe9-4bba-b2b0-56b84877d264', 'merchant_id': '8358', 'risk': 50, 'fraud': True}
{'transaction_id': 'fb8dfe01-1ddf-4615-b180-9000442a3fd7', 'amount': 49472.01, 'timestamp': '2025-05-27T07:58:55.136687', 'location': 'SEA', 'card_id': '1e6668a2-7c22-49e7-8124-49fb8c3c50c2', 'merchant_id': '7049', 'risk': 70, 'fraud': True}
{'transaction_id': '90c40fe5-ae56-4bde-8370-3145dcc1fb54', 'amount': 39712.43, 'timestamp': '2025-05-27T06:47:16.136695', 'location': 'ATL', 'card_id': 'e8c1e443-22a2-4caa-9e7c-669c3bb95665', 'merchant_id': '5782', 'risk': 50, 'fraud': True}
{'transaction_id': '21c0668c-a217-43e4-ab38-c58e5bd560ba', 'amount': 23666.08, 'timestamp': '2025-05-26T19:54:57.136703', 'location': 'BOS', 'card_id': '40303aa8-77b5-428c-b7a6-cf27104daff5', 'merchant_id': '8933', 'risk': 50, 'fraud': True}
{'transaction_id': 'eb3d32cd-0f2d-4c73-8920-d88e0a560a9a', 'amount': 27202.63, 'timestamp': '2025-05-27T13:31:41.136735', 'location': 'BOS', 'card_id': '2354503f-cd1d-4133-ba62-e3b13c4b752c', 'merchant_id': '9679', 'risk': 70, 'fraud': True}
{'transaction_id': 'a266cce6-5c22-43e5-b531-953612023b57', 'amount': 43514.02, 'timestamp': '2025-05-27T17:07:28.136743', 'location': 'SF', 'card_id': 'df9c61fd-ac18-415a-b3c9-9295c94f8afe', 'merchant_id': '3760', 'risk': 50, 'fraud': True}
{'transaction_id': '657c6222-3121-4ae1-8dd4-32215747b693', 'amount': 32197.3, 'timestamp': '2025-05-26T20:27:06.136751', 'location': 'SF', 'card_id': 'e8b85f26-cf1c-4ee6-b6ff-f5ca077a6a59', 'merchant_id': '6050', 'risk': 50, 'fraud': True}
{'transaction_id': '501ad18c-762a-47db-97bb-dca65a444ff5', 'amount': 49966.13, 'timestamp': '2025-05-26T21:21:45.136781', 'location': 'SF', 'card_id': '988bcda2-5b53-4414-bc4e-1d4b94b7bd89', 'merchant_id': '5624', 'risk': 50, 'fraud': True}
{'transaction_id': '38946938-998d-4c36-918a-ea7a1a3873fd', 'amount': 23888.67, 'timestamp': '2025-05-27T00:17:28.136789', 'location': 'LA', 'card_id': '5e67c364-f943-49cc-8884-c22093a0b111', 'merchant_id': '9202', 'risk': 50, 'fraud': True}
{'transaction_id': '58e6192a-708a-4d30-b3fb-9a8c385f3cb1', 'amount': 28216.0, 'timestamp': '2025-05-27T17:19:06.136797', 'location': 'SEA', 'card_id': '5b83124d-d82e-41d8-95c0-4d64a9335a04', 'merchant_id': '7990', 'risk': 50, 'fraud': True}
{'transaction_id': 'c1d63307-a04a-4d01-b9b8-0a17a107e53b', 'amount': 34654.96, 'timestamp': '2025-05-27T18:04:50.136812', 'location': 'NY', 'card_id': 'ded6ced8-a664-4ea4-b696-d8cb2b19fe45', 'merchant_id': '8489', 'risk': 70, 'fraud': True}
{'transaction_id': 'f4cc980a-4728-4e9e-baa9-2026a2571425', 'amount': 20008.06, 'timestamp': '2025-05-27T09:57:01.136820', 'location': 'CHI', 'card_id': '7b3aaee1-f5ff-4ef4-8d3c-82b42ec5f6c1', 'merchant_id': '7765', 'risk': 50, 'fraud': True}
{'transaction_id': 'd5d4f594-e990-433b-adb2-475e281fc743', 'amount': 49401.73, 'timestamp': '2025-05-27T07:22:52.136835', 'location': 'ATL', 'card_id': '62c1c45d-9029-453e-abe5-635a8bb2d637', 'merchant_id': '8158', 'risk': 50, 'fraud': True}
{'transaction_id': '818af8e4-960f-480b-825b-549ff5712b62', 'amount': 48459.49, 'timestamp': '2025-05-27T01:22:24.136843', 'location': 'DAL', 'card_id': '727cc98c-e1ea-46d5-bb2d-29cd4f70422e', 'merchant_id': '2671', 'risk': 50, 'fraud': True}
{'transaction_id': '6d93b874-01e9-4a7c-a062-465fbc7218b4', 'amount': 33097.41, 'timestamp': '2025-05-27T04:21:22.136858', 'location': 'BOS', 'card_id': 'ee5204e6-5199-49b8-b8f1-62a2c11cf89b', 'merchant_id': '6288', 'risk': 50, 'fraud': True}
{'transaction_id': 'd250923f-31d9-4994-85d6-e5abc4e6fdb3', 'amount': 25933.21, 'timestamp': '2025-05-27T15:17:08.136873', 'location': 'SF', 'card_id': 'be93b535-ca89-4754-96d2-78dcd7fdd658', 'merchant_id': '7929', 'risk': 70, 'fraud': True}
{'transaction_id': 'e5dada04-7a3f-47d5-b0f8-fe95b4e55384', 'amount': 48783.35, 'timestamp': '2025-05-27T01:00:31.136883', 'location': 'CHI', 'card_id': '61560b17-9aa3-4c69-9db8-07636ab859b0', 'merchant_id': '4084', 'risk': 50, 'fraud': True}
{'transaction_id': '35be1fad-5698-429f-9394-aea3f0797182', 'amount': 27651.9, 'timestamp': '2025-05-27T16:44:13.136899', 'location': 'BOS', 'card_id': 'd98d29a6-4a36-4153-a554-58249e74d7d3', 'merchant_id': '3467', 'risk': 50, 'fraud': True}
{'transaction_id': '1c1d4227-bb46-4bf3-8f6d-2b77aa8ef5ab', 'amount': 25803.06, 'timestamp': '2025-05-26T19:23:37.136906', 'location': 'SF', 'card_id': '40ae85ff-b6dd-4790-b40c-9fccf058c705', 'merchant_id': '9029', 'risk': 70, 'fraud': True}
{'transaction_id': '6a752f3e-79f0-43ec-806f-f4548bd9a1e5', 'amount': 24477.29, 'timestamp': '2025-05-27T18:50:44.136914', 'location': 'DAL', 'card_id': '7c66709c-e6f7-4e81-8c2f-c42b82a1ce21', 'merchant_id': '6007', 'risk': 50, 'fraud': True}
{'transaction_id': '285bd625-e623-413a-a8b0-588eeb206b42', 'amount': 21502.86, 'timestamp': '2025-05-27T16:51:05.136922', 'location': 'DAL', 'card_id': '05d7398b-fe31-4642-8800-112636fce3ef', 'merchant_id': '3105', 'risk': 50, 'fraud': True}
{'transaction_id': 'be582cb9-d583-43ce-912d-8925dad445c0', 'amount': 27228.38, 'timestamp': '2025-05-27T16:26:09.136937', 'location': 'NY', 'card_id': '00fd5cf4-52be-4be0-b7ba-2ac4c672f19b', 'merchant_id': '9952', 'risk': 50, 'fraud': True}
{'transaction_id': '43019a4b-b3a7-4d4f-91f4-fd2a60bc000e', 'amount': 27370.3, 'timestamp': '2025-05-27T01:52:14.136944', 'location': 'SF', 'card_id': '8ec2aa5f-ec4a-45a5-9971-493ea79c4491', 'merchant_id': '4534', 'risk': 50, 'fraud': True}
{'transaction_id': '5b0eb8de-ad2e-400e-ae07-6c1abebba137', 'amount': 36724.82, 'timestamp': '2025-05-27T12:27:59.136952', 'location': 'DAL', 'card_id': '6375b4f1-45d8-4519-8a08-30e1b8acb7d4', 'merchant_id': '6551', 'risk': 50, 'fraud': True}
{'transaction_id': '84ee4a2a-2213-459f-aa71-a9b179c00cfb', 'amount': 28503.57, 'timestamp': '2025-05-27T04:28:45.136960', 'location': 'SEA', 'card_id': '856024b4-1672-43e5-9bce-a8ab4c5075cf', 'merchant_id': '4220', 'risk': 50, 'fraud': True}
{'transaction_id': '28c812d1-f280-43e7-8bfe-e666c22f101e', 'amount': 22068.92, 'timestamp': '2025-05-27T00:58:02.136983', 'location': 'NY', 'card_id': '77de8563-69e8-459a-bd64-f71857286d58', 'merchant_id': '1250', 'risk': 50, 'fraud': True}
{'transaction_id': 'f5177105-bb4d-4af9-a6ac-c3e964848911', 'amount': 36446.83, 'timestamp': '2025-05-27T14:03:24.136990', 'location': 'DAL', 'card_id': 'c8a4398d-3a1e-4d39-9575-67d52caaa372', 'merchant_id': '8148', 'risk': 50, 'fraud': True}
{'transaction_id': '2c92f69f-6c44-4941-9b4d-52dc37a8025e', 'amount': 36609.41, 'timestamp': '2025-05-26T22:19:52.136998', 'location': 'SEA', 'card_id': '0476ae5a-44ad-4413-86fc-e2ff4d7cd88c', 'merchant_id': '3201', 'risk': 50, 'fraud': True}
{'transaction_id': '1dd98590-363f-49aa-8df3-da27787f72d2', 'amount': 36274.36, 'timestamp': '2025-05-26T21:44:49.137005', 'location': 'CHI', 'card_id': '601acd62-9723-4eb9-828b-561d7282d887', 'merchant_id': '1174', 'risk': 50, 'fraud': True}
{'transaction_id': 'd6f94933-115f-49b1-a4db-61dafaacceaa', 'amount': 48298.96, 'timestamp': '2025-05-27T09:40:19.137012', 'location': 'SF', 'card_id': '6c115633-8c8b-402c-bf0b-60dfb4235cfa', 'merchant_id': '4791', 'risk': 50, 'fraud': True}
{'transaction_id': '1e4f6032-31a8-475c-9158-7daab64e60bc', 'amount': 35482.69, 'timestamp': '2025-05-27T09:02:18.137035', 'location': 'BOS', 'card_id': '6a510dab-3b1b-4724-85c7-55a81f7e930f', 'merchant_id': '7436', 'risk': 50, 'fraud': True}
{'transaction_id': 'c47ff6ea-b3a8-4d47-9517-ec0b5f0a9208', 'amount': 28517.7, 'timestamp': '2025-05-27T07:59:39.137051', 'location': 'BOS', 'card_id': '2df95266-9e9e-4c35-9621-fbcac26442bf', 'merchant_id': '3330', 'risk': 50, 'fraud': True}
{'transaction_id': '550e4e10-235d-43ef-88ac-91302128226c', 'amount': 41238.42, 'timestamp': '2025-05-27T04:21:28.137066', 'location': 'LA', 'card_id': '64bea07c-d32e-4d70-af0a-bf586e7fddf1', 'merchant_id': '3591', 'risk': 50, 'fraud': True}
{'transaction_id': '493eff83-4561-428c-b201-8a67924016ed', 'amount': 23592.6, 'timestamp': '2025-05-27T10:31:15.137082', 'location': 'LA', 'card_id': 'e3395086-6c73-4c00-af45-89ad93ac7893', 'merchant_id': '5258', 'risk': 50, 'fraud': True}
{'transaction_id': '0c86b194-06d0-4d1c-9176-e36d716b8c2a', 'amount': 24973.84, 'timestamp': '2025-05-27T05:46:52.137089', 'location': 'SEA', 'card_id': 'f0b1c877-6cd4-4fb9-9e8c-dad93924b355', 'merchant_id': '5099', 'risk': 70, 'fraud': True}
{'transaction_id': 'cba14fb1-8c1d-4244-86bb-32ee6b883fce', 'amount': 37136.02, 'timestamp': '2025-05-27T05:04:24.137112', 'location': 'LA', 'card_id': 'fea7993b-c2ff-468f-a16c-6baa7d3fd27d', 'merchant_id': '5579', 'risk': 70, 'fraud': True}
{'transaction_id': '7e07a64e-9d6f-4185-9c8f-b1b9bfbba028', 'amount': 36438.19, 'timestamp': '2025-05-26T20:05:04.137120', 'location': 'LA', 'card_id': '034f09f6-7310-4634-a921-75e505fdabac', 'merchant_id': '4220', 'risk': 50, 'fraud': True}
{'transaction_id': 'fdb0bd9e-8c9a-4482-822e-079859bece1e', 'amount': 33849.7, 'timestamp': '2025-05-27T02:06:08.137170', 'location': 'LA', 'card_id': '91468b66-fdd1-44ac-a2b1-b742dc97be78', 'merchant_id': '8004', 'risk': 50, 'fraud': True}
{'transaction_id': '55333d41-14b1-4e0b-aac5-b5576e022b28', 'amount': 49284.81, 'timestamp': '2025-05-27T08:10:50.137177', 'location': 'DAL', 'card_id': '03cacda6-7bfd-4920-9ecb-d3daa5d5868d', 'merchant_id': '2341', 'risk': 50, 'fraud': True}
{'transaction_id': '7f46114a-65e4-440b-bc87-febd0ef5daf6', 'amount': 29364.21, 'timestamp': '2025-05-27T04:34:52.137205', 'location': 'LA', 'card_id': '2de22071-aecd-49ae-a235-cba203255c44', 'merchant_id': '5354', 'risk': 50, 'fraud': True}
{'transaction_id': 'ebac2369-a6ca-4f6e-b588-b025631254dc', 'amount': 48510.37, 'timestamp': '2025-05-27T14:51:32.137219', 'location': 'DAL', 'card_id': 'feb0e68a-d066-49e6-a089-38830f7b8305', 'merchant_id': '8339', 'risk': 70, 'fraud': True}
{'transaction_id': 'c39794e9-8730-4101-b75a-0734832a5d88', 'amount': 26056.99, 'timestamp': '2025-05-27T06:31:55.137226', 'location': 'CHI', 'card_id': '7735b8d3-274a-4ed1-9a2e-167a49643c02', 'merchant_id': '3418', 'risk': 50, 'fraud': True}
{'transaction_id': '681bd445-af42-4860-b29e-666b527c6eec', 'amount': 33182.89, 'timestamp': '2025-05-27T13:13:54.137234', 'location': 'DAL', 'card_id': 'eb4a01f0-5233-444d-9247-5b94391d169b', 'merchant_id': '4812', 'risk': 50, 'fraud': True}
{'transaction_id': 'b8376595-5298-42cd-9e16-8057c8f81fdb', 'amount': 35174.83, 'timestamp': '2025-05-26T20:54:08.137241', 'location': 'NY', 'card_id': 'f3aa6762-2146-4194-b863-2836e00a7908', 'merchant_id': '3321', 'risk': 50, 'fraud': True}
{'transaction_id': '132c17d8-8c5d-46cf-9f6d-7c78dd1d4586', 'amount': 39177.01, 'timestamp': '2025-05-27T07:31:33.137249', 'location': 'SF', 'card_id': 'e9bb1174-55ed-4423-aa35-6e92a4a82468', 'merchant_id': '6069', 'risk': 70, 'fraud': True}
{'transaction_id': '425ee1d1-fcb8-4e88-942a-d5f9cb66e654', 'amount': 34951.87, 'timestamp': '2025-05-26T21:00:51.137263', 'location': 'BOS', 'card_id': 'e12eaa28-100e-4848-aaa9-3577d6a0783c', 'merchant_id': '3940', 'risk': 50, 'fraud': True}
{'transaction_id': '95892da1-e893-4ee2-b3c3-89a63fb63aa3', 'amount': 32940.45, 'timestamp': '2025-05-27T02:54:03.137270', 'location': 'CHI', 'card_id': '0d67ee35-8a72-4eff-8bdb-726ec173ab4b', 'merchant_id': '6963', 'risk': 50, 'fraud': True}
{'transaction_id': '9f454545-2c20-4b71-8c32-8431aadb2640', 'amount': 34968.36, 'timestamp': '2025-05-27T14:53:44.137278', 'location': 'SEA', 'card_id': '6c6bcbe7-07e2-4c30-a68a-d204c1ab28bc', 'merchant_id': '9000', 'risk': 50, 'fraud': True}
{'transaction_id': 'a2595220-5e84-40d1-a580-23f87402054c', 'amount': 28525.32, 'timestamp': '2025-05-27T07:37:46.137285', 'location': 'LA', 'card_id': '16d761bd-8510-49e8-a65d-a19d26b51932', 'merchant_id': '2256', 'risk': 50, 'fraud': True}
{'transaction_id': 'd00d8995-5a3c-4477-b969-db30ace98152', 'amount': 31153.53, 'timestamp': '2025-05-27T06:09:19.137293', 'location': 'SEA', 'card_id': 'ca2b03a2-39b7-4e55-8bc2-393bd335259e', 'merchant_id': '7530', 'risk': 50, 'fraud': True}
{'transaction_id': '7e1b2eab-7593-4dd7-846f-b158cc80a85e', 'amount': 37299.07, 'timestamp': '2025-05-27T07:06:50.137307', 'location': 'LA', 'card_id': '67e8d211-3d68-442f-9ece-eb9936f1f010', 'merchant_id': '9685', 'risk': 50, 'fraud': True}
{'transaction_id': 'd0149b1b-f5e9-44e4-95df-485984027e49', 'amount': 31161.76, 'timestamp': '2025-05-27T13:54:14.137314', 'location': 'ATL', 'card_id': '0fc05501-48d8-42b9-8feb-3f3706e48d8c', 'merchant_id': '6513', 'risk': 50, 'fraud': True}
{'transaction_id': '7e323963-fffb-4cc6-8956-e92267fce24c', 'amount': 23663.8, 'timestamp': '2025-05-27T10:07:34.137322', 'location': 'LA', 'card_id': 'ed63e8ee-f6da-4d5d-96bd-1db3d5604cba', 'merchant_id': '3057', 'risk': 50, 'fraud': True}
{'transaction_id': '709e52ed-5b1e-4d11-9ccc-3e06588f69e7', 'amount': 23248.98, 'timestamp': '2025-05-27T13:05:09.137329', 'location': 'BOS', 'card_id': '9476b3ec-825f-4181-99bd-b1552076dbe6', 'merchant_id': '8796', 'risk': 50, 'fraud': True}
{'transaction_id': '11c15324-d67b-4ec3-8028-22f6257769da', 'amount': 47584.18, 'timestamp': '2025-05-27T00:12:14.137336', 'location': 'SEA', 'card_id': 'a71f54af-b497-495f-8012-5ea296a9734f', 'merchant_id': '4171', 'risk': 50, 'fraud': True}
